Year,psa_rate_per_100k_pop,lga_rate_per_100_pop,incidents_recorded,LGA,division_code,division_desc,subdivision_code,subdivision_desc,subgroup_code,subgroup_desc,police_region
2025,25.821058607,52.282382389,11,Mount Alexander,B,Property and deception offences,B10,Arson,B19,Other fire related offences,4 Western
2025,232.389527465,470.541441499,99,Mount Alexander,B,Property and deception offences,B20,Property damage,B21,Criminal damage,4 Western
2025,91.547389608,185.364810288,39,Mount Alexander,B,Property and deception offences,B20,Property damage,B22,Graffiti,4 Western
2025,16.43158275,33.270606975,7,Mount Alexander,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,4 Western
2025,117.368448215,237.647192676,50,Mount Alexander,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,4 Western
2025,51.642117215,104.564764778,22,Mount Alexander,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,4 Western
2025,124.410555108,251.906024237,53,Mount Alexander,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,4 Western
2025,39.905272393,80.80004551,17,Mount Alexander,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,4 Western
2025,178.400041287,361.223732868,76,Mount Alexander,B,Property and deception offences,B40,Theft,B49,Other theft,4 Western
2025,50.681597365,50.681597365,82,Darebin,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,1 North West Metro
2025,4.326477824,4.326477824,7,Darebin,B,Property and deception offences,B10,Arson,B19,Other fire related offences,1 North West Metro
2025,650.825878354,650.825878354,1053,Darebin,B,Property and deception offences,B20,Property damage,B21,Criminal damage,1 North West Metro
2025,64.897167357,64.897167357,105,Darebin,B,Property and deception offences,B20,Property damage,B22,Graffiti,1 North West Metro
2025,6.180682605,6.180682605,10,Darebin,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,1 North West Metro
2025,125.467856891,125.467856891,203,Darebin,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,1 North West Metro
